0.397	0.59282
0.398	0.593317
0.399	0.593793
0.4	0.594246
0.401	0.594676
0.402	0.595085
0.403	0.595472
0.404	0.595837
0.405	0.59618
0.406	0.596502
0.407	0.596802
0.408	0.59708
0.409	0.597338
0.41	0.597573
0.411	0.597788
0.412	0.597982
0.413	0.598155
0.414	0.598307
0.415	0.598438
0.416	0.598548
0.417	0.598638
0.418	0.598707
0.419	0.598756
0.42	0.598785
0.421	0.598794
0.422	0.598782
0.423	0.598751
0.424	0.5987
0.425	0.598628
0.426	0.598538
0.427	0.598427
0.428	0.598298
0.429	0.598148
0.43	0.59798
0.431	0.597792
0.432	0.597586
0.433	0.59736
0.434	0.597116
0.435	0.596852
0.436	0.596571
0.437	0.59627
0.438	0.595951
0.439	0.595614
0.44	0.595258
0.441	0.594884
0.442	0.594492
0.443	0.594082
0.444	0.593655
0.445	0.593209
0.446	0.592746
0.447	0.592265
0.448	0.591767
0.449	0.591251
0.45	0.590719
0.451	0.590168
0.452	0.589601
0.453	0.589017
0.454	0.588416
0.455	0.587798
0.456	0.587164
0.457	0.586513
0.458	0.585845
0.459	0.585161
0.46	0.584461
0.461	0.583745
0.462	0.583012
0.463	0.582264
0.464	0.5815
0.465	0.58072
0.466	0.579924
0.467	0.579112
0.468	0.578286
0.469	0.577443
0.47	0.576586
0.471	0.575713
0.472	0.574825
0.473	0.573922
0.474	0.573005
0.475	0.572072
0.476	0.571125
0.477	0.570163
0.478	0.569187
0.479	0.568197
0.48	0.567192
0.481	0.566173
0.482	0.565139
0.483	0.564092
0.484	0.563031
0.485	0.561956
0.486	0.560868
0.487	0.559766
0.488	0.55865
0.489	0.557521
0.49	0.556379
0.491	0.555223
0.492	0.554055
0.493	0.552873
0.494	0.551678
0.495	0.550471
0.496	0.549251
0.497	0.548019
0.498	0.546774
0.499	0.545516
0.5	0.544246
0.501	0.542964
0.502	0.54167
0.503	0.540364
0.504	0.539046
0.505	0.537716
0.506	0.536375
0.507	0.535022
0.508	0.533657
0.509	0.532281
